3,1.0608160000000002,1.0614373999999998,6.362011450303822e+17,2017/01/15-22:02:12.15
3,1.0621579999999995,1.0623861999999997,6.362011461431183e+17,2017/01/15-22:03:25.15
3,1.0625338,1.0627742000000002,6.362011469597711e+17,2017/01/15-22:04:59.15
3,1.0627140000000002,1.0629234,6.362011475615442e+17,2017/01/15-22:05:54.15
3,1.0624338,1.0626688000000006,6.362011485996644e+17,2017/01/15-22:07:35.15
3,1.0622343999999997,1.0626929999999999,6.36201149369273e+17,2017/01/15-22:08:48.15
3,1.0624482,1.0627835999999997,6.362011510062772e+17,2017/01/15-22:12:01.15
3,1.0622871999999997,1.0627832000000001,6.362011524562804e+17,2017/01/15-22:14:01.15
2,1.0626696000000002,1.0630011999999993,6.362011534267139e+17,2017/01/15-22:15:53.15
2,1.0626105999999997,1.0628183999999994,6.362011545772018e+17,2017/01/15-22:17:24.15
1,1.0622897999999998,1.0626326,6.36201156092841e+17,2017/01/15-22:20:17.15
1,1.0620716000000001,1.0622947999999999,6.3620115718847e+17,2017/01/15-22:22:14.15
1,1.0618856000000003,1.0621492000000001,6.362011585447514e+17,2017/01/15-22:24:00.15
1,1.0616218000000002,1.0618307999999999,6.362011613284204e+17,2017/01/15-22:29:26.15
1,1.0615350000000001,1.061735,6.362011623452278e+17,2017/01/15-22:30:35.15
1,1.0614988000000005,1.0616988,6.362011629213283e+17,2017/01/15-22:31:38.15
1,1.0616492000000004,1.0618492000000004,6.36201164790198e+17,2017/01/15-22:34:36.15
1,1.0616060000000003,1.061806,6.362011656313116e+17,2017/01/15-22:36:05.15
1,1.0615906000000002,1.0617906000000001,6.362011661915954e+17,2017/01/15-22:36:58.15
1,1.0615612,1.0617612,6.362011663988492e+17,2017/01/15-22:37:14.15
1,1.0615398,1.0617397999999998,6.362011672507148e+17,2017/01/15-22:38:43.15
1,1.0617258000000005,1.0619258000000003,6.362011682851101e+17,2017/01/15-22:40:26.15
1,1.0619053999999999,1.0621053999999999,6.36201169735403e+17,2017/01/15-22:43:01.15
1,1.062180200000001,1.0623802000000007,6.362011718189661e+17,2017/01/15-22:45:59.15
1,1.0620992000000002,1.0623029999999998,6.362011741804632e+17,2017/01/15-22:49:47.15
1,1.0621154000000004,1.0623226,6.362011789752612e+17,2017/01/15-22:58:09.15
1,1.0622934,1.0624934000000004,6.362011800627188e+17,2017/01/15-23:00:06.15
1,1.0623964,1.0625963999999999,6.362011801404052e+17,2017/01/15-23:00:13.15
3,1.0623986000000003,1.0625986000000003,6.362011802632214e+17,2017/01/15-23:00:27.15
3,1.0630222000000003,1.0632222000000002,6.36201180442035e+17,2017/01/15-23:00:43.15
3,1.0628492000000003,1.0630492,6.362011806514191e+17,2017/01/15-23:01:05.15
3,1.0628235999999998,1.0630235999999993,6.362011807590564e+17,2017/01/15-23:01:16.15
3,1.0628812000000003,1.0630812000000003,6.362011808564612e+17,2017/01/15-23:01:25.15
3,1.0629281999999993,1.063128200000001,6.362011809857948e+17,2017/01/15-23:01:39.15
3,1.0629562,1.0631562000000003,6.362011810781482e+17,2017/01/15-23:01:47.15
3,1.0629668000000003,1.0631668000000003,6.362011811705742e+17,2017/01/15-23:01:57.15
3,1.0629545999999999,1.0631546000000003,6.36201181248095e+17,2017/01/15-23:02:04.15
3,1.0629517999999998,1.0631518000000006,6.362011813236785e+17,2017/01/15-23:02:12.15
3,1.0629654000000004,1.0631654,6.362011814002798e+17,2017/01/15-23:02:20.15
3,1.0629621999999992,1.063162199999999,6.362011814840195e+17,2017/01/15-23:02:28.15
3,1.0629384,1.0631383999999997,6.362011815694147e+17,2017/01/15-23:02:37.15
3,1.0629247999999993,1.0631248000000002,6.362011816513362e+17,2017/01/15-23:02:44.15
3,1.0628709999999995,1.0630710000000005,6.362011817352004e+17,2017/01/15-23:02:53.15
3,1.0629688,1.0631688,6.362011818937782e+17,2017/01/15-23:03:03.15
3,1.0630778,1.0632777999999996,6.36201182366672e+17,2017/01/15-23:03:54.15
1,1.0629898,1.0631898,6.362011831168335e+17,2017/01/15-23:05:13.15
3,1.0628083999999998,1.0630084000000002,6.362011835992342e+17,2017/01/15-23:05:58.15
3,1.0629604,1.0631603999999997,6.362011842736022e+17,2017/01/15-23:07:05.15
3,1.0632178,1.0634178,6.362011847316462e+17,2017/01/15-23:07:55.15
1,1.0632838,1.0634838,6.362011850927208e+17,2017/01/15-23:08:25.15
3,1.0633051999999998,1.0635051999999996,6.36201186072957e+17,2017/01/15-23:10:21.15
3,1.0631639999999993,1.0633639999999993,6.36201187324883e+17,2017/01/15-23:12:08.15
2,1.0632527999999999,1.0634528,6.362011879050205e+17,2017/01/15-23:13:10.15
2,1.0634755999999999,1.0636756,6.362011883504408e+17,2017/01/15-23:13:51.15
2,1.0633648,1.0635648,6.36201189228857e+17,2017/01/15-23:15:26.15
2,1.0632172000000002,1.0634171999999997,6.362011901688975e+17,2017/01/15-23:16:46.15
2,1.0631939999999995,1.0633939999999993,6.36201191836797e+17,2017/01/15-23:19:58.15
3,1.0630995999999997,1.0632995999999997,6.362011929971446e+17,2017/01/15-23:21:41.15
3,1.0630440000000003,1.063244,6.362011936520676e+17,2017/01/15-23:22:44.15
3,1.0629796,1.0631795999999998,6.36201193987334e+17,2017/01/15-23:23:21.15
3,1.0629478000000003,1.0631478000000003,6.362011943307325e+17,2017/01/15-23:23:54.15
2,1.0631045999999997,1.0633045999999997,6.362011946353242e+17,2017/01/15-23:24:24.15
2,1.0632055999999999,1.0634055999999996,6.362011948892364e+17,2017/01/15-23:24:48.15
